time,distance,heuristic,cityDep_id,cityArr_id
8708,219683,203630.11604353797,1000,1
26756,783647,662958.6855911079,10000,1
32967,1015789,835129.1073847325,1000,2
1151,5139,2560.890965532438,10000,2
22876,692878,559315.2661845582,1000,3
11324,315703,276423.9742983098,10000,3
30069,892261,792598.1555346892,1000,4
14059,404794,319879.4629079704,10000,4
37831,1168772,833717.2889568479,1000,5
7648,197233,158431.330042345,10000,5
20727,600084,508560.46243701724,1000,6
32114,985703,695682.4781097487,10000,6
17855,520771,407298.72834948584,1000,7
27436,805832,616830.1230302068,10000,7
32249,964105,785291.7875770126,1000,8
6442,167157,124810.41825263438,10000,8
27128,804016,700464.6263601499,1000,9
21368,643779,504622.4424232147,10000,9
19070,564509,446340.09727555624,1000,10
34075,1046095,764218.4349940049,10000,10
10962,314349,244831.3045490792,1000,11
32251,965731,798765.1748987552,10000,11
7174,206689,168673.63506588267,1000,12
26110,798063,670846.3402850452,10000,12
190,776,287.85132485605925,1000,13
32685,1002095,835352.6100747109,10000,13
24842,760674,587173.7792665793,1000,14
11583,331317,250264.01372463405,10000,14
35119,1078570,864409.6333503011,1000,15
3252,67545,49868.98174981832,10000,15
17614,512180,440343.2333807239,1000,16
29830,906106,655307.1897524656,10000,16
26175,756817,599490.960692796,1000,17
42473,1283623,950962.9644436103,10000,17
25656,803958,639619.044124782,1000,18
10550,308382,210233.14972984677,10000,18
16830,510656,395553.1825398287,1000,19
17430,503958,448585.5452668049,10000,19
15216,424971,359512.1166847006,1000,20
29757,890814,660124.8900800688,10000,20
21402,637565,539841.8596030769,1000,21
16389,473087,331106.0148168753,10000,21
5343,139229,98293.35709785073,1000,22
31741,929844,771704.2052270676,10000,22
20666,605582,549216.8066901178,1000,23
23146,691994,433055.14581367257,10000,23
32187,996759,810233.6050043309,1000,24
2051,32265,27077.79407223321,10000,24
30929,956754,763033.7996624474,1000,25
5101,123469,101766.24213452522,10000,25
16061,455513,401489.83360484435,1000,26
26543,798168,584244.3169013007,10000,26
33869,985682,811441.8788627835,1000,27
12495,337465,255392.14870075253,10000,27
12364,361708,277771.54746119434,1000,28
25621,769087,652852.0324657618,10000,28
22513,697668,558096.7089590522,1000,29
11487,325634,277878.6544718536,10000,29
19004,583999,434349.7040291711,1000,30
19323,568495,443372.79838323547,10000,30
13278,385550,293508.03494259313,1000,31
33198,1004348,789189.6120017772,10000,31
12591,345915,314075.0804265674,1000,32
25195,763551,581001.4929426814,10000,32
21902,634960,446126.0044819072,1000,33
23546,691985,519044.15662699647,10000,33
9134,256881,194981.04042558078,1000,34
30064,904292,758229.4736725469,10000,34
35372,1069900,885046.3865639732,1000,35
11338,323842,213546.98542389457,10000,35
8246,226137,208834.43449040764,1000,36
25861,776516,661822.7321324465,10000,36
14992,418629,312916.06445091066,1000,37
24000,713446,603293.6557836271,10000,37
815,12095,10091.435078985656,1000,38
32937,1011491,841054.4333952491,10000,38
8000,221323,196390.29690859283,1000,39
27228,794671,673841.362341646,10000,39
962,14089,10884.58030572083,1000,40
33084,1013485,843117.7090379028,10000,40
11134,301036,241246.69151128846,1000,41
28101,841214,682957.8998602144,10000,41
38067,1165067,829963.8603778788,1000,42
7884,193528,148142.9636584263,10000,42
9191,240456,214887.3047687072,1000,43
25999,779860,661736.5819280779,10000,43
30306,929532,755457.9551677189,1000,44
4491,96208,85477.07503255244,10000,44
19412,553349,493675.6841361429,1000,45
28216,777162,539702.145511152,10000,45
7956,225401,202795.45108840786,1000,46
26675,794150,670080.5126219513,10000,46
33596,1009380,856785.6396456874,1000,47
