driving, 4633, 84740, 71725.79766699282,1,41
walking, 61044, 80278, 71725.79766699282,1,41
driving, 31654, 928497, 682482.4055936214,1,42
walking, 632059, 827523, 682482.4055936214,1,42
transit, 28725, 991607, 682482.4055936214,1,42
driving, 2539, 23386, 16427.180248910616,1,43
walking, 14127, 18041, 16427.180248910616,1,43
transit, 3001, 23301, 16427.180248910616,1,43
driving, 23914, 692962, 579477.2029311236,1,44
walking, 493053, 660225, 579477.2029311236,1,44
transit, 12463, 662598, 579477.2029311236,1,44
driving, 12658, 339775, 294995.60540828155,1,45
walking, 239391, 322426, 294995.60540828155,1,45
transit, 7641, 327105, 294995.60540828155,1,45
driving, 1746, 14055, 10441.922105917412,1,46
walking, 8998, 11784, 10441.922105917412,1,46
transit, 1942, 12845, 10441.922105917412,1,46
driving, 26875, 795806, 653692.3462281276,1,47
walking, 529261, 714412, 653692.3462281276,1,47
transit, 26365, 814545, 653692.3462281276,1,47
driving, 16978, 472546, 398562.89264998806,1,48
walking, 324516, 439193, 398562.89264998806,1,48
transit, 16257, 506736, 398562.89264998806,1,48
driving, 10764, 295042, 234667.82865346764,1,49
walking, 196306, 264087, 234667.82865346764,1,49
transit, 11653, 347319, 234667.82865346764,1,49
driving, 1871, 11004, 8257.147524579766,1,50
walking, 7251, 9255, 8257.147524579766,1,50
transit, 2231, 9901, 8257.147524579766,1,50
driving, 9684, 250478, 198581.96836185962,1,51
walking, 158487, 213822, 198581.96836185962,1,51
transit, 11516, 238367, 198581.96836185962,1,51
driving, 1846, 11609, 9936.740173042821,1,52
walking, 8681, 11193, 9936.740173042821,1,52
transit, 2868, 14073, 9936.740173042821,1,52
driving, 30884, 916473, 693657.7389513705,1,53
walking, 635647, 830544, 693657.7389513705,1,53
transit, 21279, 953520, 693657.7389513705,1,53
driving, 11901, 305005, 243059.23426547504,1,54
walking, 199940, 268545, 243059.23426547504,1,54
transit, 20292, 340774, 243059.23426547504,1,54
driving, 18523, 507461, 387781.43455250416,1,55
walking, 328936, 440202, 387781.43455250416,1,55
driving, 15486, 439190, 380384.69151422806,1,56
walking, 309396, 417358, 380384.69151422806,1,56
transit, 14105, 487065, 380384.69151422806,1,56
driving, 30911, 908262, 692834.140477245,1,57
walking, 631975, 826055, 692834.140477245,1,57
transit, 20475, 942473, 692834.140477245,1,57
driving, 32242, 817566, 616426.645439191,1,58
walking, 558442, 723884, 616426.645439191,1,58
driving, 20224, 565175, 484699.707287474,1,59
walking, 395307, 531653, 484699.707287474,1,59
transit, 17479, 554298, 484699.707287474,1,59
driving, 19833, 568845, 479334.6109011079,1,60
walking, 403939, 539281, 479334.6109011079,1,60
transit, 13148, 540340, 479334.6109011079,1,60
driving, 8951, 231581, 210410.1384081958,1,61
walking, 171280, 230446, 210410.1384081958,1,61
transit, 9118, 242816, 210410.1384081958,1,61
driving, 17534, 462171, 396899.04631489224,1,62
walking, 317533, 429784, 396899.04631489224,1,62
driving, 2409, 23137, 11312.120156771563,1,63
walking, 9674, 12583, 11312.120156771563,1,63
transit, 2055, 16120, 11312.120156771563,1,63
driving, 7865, 176317, 143477.70403869293,1,64
walking, 115950, 155899, 143477.70403869293,1,64
transit, 7511, 170758, 143477.70403869293,1,64
driving, 18031, 504420, 439836.1157985549,1,65
walking, 360577, 485629, 439836.1157985549,1,65
transit, 14707, 488784, 439836.1157985549,1,65
driving, 7135, 170077, 129329.81725442823,1,66
walking, 105760, 141517, 129329.81725442823,1,66
transit, 7407, 158864, 129329.81725442823,1,66
driving, 28628, 839990, 698007.7266723489,1,67
walking, 600595, 800869, 698007.7266723489,1,67
transit, 18105, 815517, 698007.7266723489,1,67
driving, 2281, 23795, 13215.221520123432,1,68
walking, 10745, 13910, 13215.221520123432,1,68
transit, 2421, 15727, 13215.221520123432,1,68
driving, 1147, 5812, 5221.6678094489225,1,69
walking, 4497, 5851, 5221.6678094489225,1,69
transit, 1639, 5783, 5221.6678094489225,1,69
driving, 15092, 412080, 353169.98431610316,1,70
walking, 285264, 385817, 353169.98431610316,1,70
transit, 12663, 438734, 353169.98431610316,1,70
driving, 9762, 236319, 199859.69498488252,1,71
walking, 167079, 225054, 199859.69498488252,1,71
transit, 11646, 237333, 199859.69498488252,1,71
driving, 19532, 574227, 457096.3007799467,1,72
walking, 389620, 515107, 457096.3007799467,1,72
transit, 14491, 524721, 457096.3007799467,1,72
driving, 4907, 91901, 65654.7320974125,1,73
walking, 55467, 73294, 65654.7320974125,1,73
transit, 6934, 89110, 65654.7320974125,1,73
driving, 20614, 596302, 505281.84255772544,1,74
walking, 405527, 548534, 505281.84255772544,1,74
transit, 14913, 555224, 505281.84255772544,1,74
driving, 16422, 477147, 403265.53647426097,1,75
walking, 338389, 452422, 403265.53647426097,1,75
driving, 58704, 1126167, 920596.98441182,1,76
walking, 629620, 1086911, 920596.98441182,1,76
driving, 16438, 462318, 399571.66384525737,1,77
